date,,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,lastModified,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
2020/3/2,1900/1/1,3,470,126,,,,,,,,,2020-03-02T00:00:00Z,11,,2020-03-02T00:00:00Z,596,596,596,3,0,112,82,194,e34b83810217fb8afc398883fc82f67cd2a8978f
2020/3/3,1900/1/2,3,570,269,,,,,,,,,2020-03-03T00:00:00Z,14,,2020-03-03T00:00:00Z,839,839,839,3,0,143,100,243,f9727e4e13ad82cb735a5e52a102c5b76eeab777
2020/3/4,1900/1/3,15,757,1180,103,,4,,,,,,2020-03-04T00:00:00Z,16,4,2020-03-04T00:00:00Z,2040,1937,1937,2,4,911,187,1098,3f96feb9ff9259be2ec3fbc99edc9eac7ff266e3
2020/3/5,1900/1/4,24,910,1644,197,,5,,,,,,2020-03-05T00:00:00Z,20,5,2020-03-05T00:00:00Z,2751,2554,2554,4,1,464,153,617,bbeb057e0be9cfaa0574f478dd604069f36a2225
2020/3/6,1900/1/5,36,1051,2289,458,,6,,,,,,2020-03-06T00:00:00Z,26,6,2020-03-06T00:00:00Z,3798,3340,3340,6,1,645,141,786,bff341983cc3d91067e76e695a7b20466039800f
2020/3/9,1900/1/1,50,1905,4880,313,,8,,,,,,2020-03-09T00:00:00Z,35,8,2020-03-09T00:00:00Z,7098,6785,6785,4,2,1406,367,1773,eb067ecd1e4c000fa63581d54354a087acdb20a9
2020/3/10,1900/1/2,50,2346,6929,469,,8,,,,,,2020-03-10T00:00:00Z,37,8,2020-03-10T00:00:00Z,9744,9275,9275,2,0,2049,441,2490,ab56d59efee3cc53d6b5ccb4ab2c2a013b3f288e
2020/3/11,1900/1/3,50,2873,10220,563,,11,,,,,,2020-03-11T00:00:00Z,43,11,2020-03-11T00:00:00Z,13656,13093,13093,6,3,3291,527,3818,58cdab18c3a7ebcf5c056033114d95e47c6580dc
2020/3/12,1900/1/4,51,3555,14848,673,,16,,,,,,2020-03-12T00:00:00Z,51,16,2020-03-12T00:00:00Z,19076,18403,18403,8,5,4628,682,5310,531b3418e993cb86c70346d5cc2d763459f9221e
2020/3/13,1900/1/5,51,4580,22994,1130,,22,,,,,,2020-03-13T00:00:00Z,55,22,2020-03-13T00:00:00Z,28704,27574,27574,4,6,8146,1025,9171,682239005489591755bab6e073391e461b66d3e2
2020/3/16,1900/1/1,56,8315,49397,1691,,42,,,,,,2020-03-16T00:00:00Z,100,42,2020-03-16T00:00:00Z,59403,57712,57712,21,6,16355,1569,17924,8ca2bf3f16866e855b0ec36e3481ceb7d3116d52
2020/3/17,1900/1/2,56,11928,63104,1687,325,55,,,,,,2020-03-17T00:00:00Z,122,55,2020-03-17T00:00:00Z,76719,75032,75032,22,13,13707,3613,17320,c3d5cf79abd31df00b2e9d41cb67f35b38ac1b81
2020/3/18,1900/1/3,56,15099,84997,2526,416,67,,,,,,2020-03-18T00:00:00Z,153,67,2020-03-18T00:00:00Z,102622,100096,100096,31,12,21893,3171,25064,45d96c40be4c956eb78422d3fc60ca8f7142758f
2020/3/19,1900/1/4,56,19770,108407,3016,617,85,,,,,,2020-03-19T00:00:00Z,199,85,2020-03-19T00:00:00Z,131193,128177,128177,46,18,23410,4671,28081,96cc0ff577ba54a62189e22f97a9e84b8a5d696d
2020/3/20,1900/1/5,56,26025,138814,3330,1042,108,,,,,,2020-03-20T00:00:00Z,267,108,2020-03-20T00:00:00Z,168169,164839,164839,68,23,30407,6255,36662,09fb86c2fc17276f939b02e06769c4e272a04736
2020/3/23,1900/1/1,56,53611,260182,14571,2770,3937,,,,,,2020-03-23T00:00:00Z,568,3937,2020-03-23T00:00:00Z,328364,313793,313793,97,914,46706,11442,58148,69b731e567219d6c83b1a201d02b1ad25237c001
2020/3/24,1900/1/2,56,64243,318687,14433,3828,5117,,,,,,2020-03-24T00:00:00Z,799,5117,2020-03-24T00:00:00Z,397363,382930,382930,231,1180,58505,10632,69137,3238a57724c36db242e1a9afa8727f036ede070d
2020/3/25,1900/1/3,56,77116,390208,51235,4971,7021,,74,167,,146,2020-03-25T00:00:00Z,1031,7021,2020-03-25T00:00:00Z,518559,467324,467324,232,1904,71521,12873,84394,f7de09f38bf7e3f1b5f6e54b3e4011f6b7c7d5b2
2020/3/26,1900/1/4,56,94772,474367,60251,7651,9520,1299,91,258,,97,2020-03-26T00:00:00Z,1342,9520,2020-03-26T00:00:00Z,629390,569139,569139,311,2499,84159,17656,101815,8c27d5bb08ec81223fdbc43713cda9e7c5e30ccd
2020/3/27,1900/1/5,56,113816,557979,60091,10820,12083,1792,124,324,,2418,2020-03-27T00:00:00Z,1743,12083,2020-03-27T00:00:00Z,731886,671795,671795,401,2563,83612,19044,102656,6831f514677816406e69efacca351c40e6039375
2020/3/30,1900/1/1,56,175092,809646,65369,15616,19819,3087,187,451,,4560,2020-03-30T00:00:00Z,3355,19819,2020-03-30T00:00:00Z,1050107,984738,984738,577,2536,96564,21897,118461,8e9eba9fcbae766a67e0f98354c7671be124b18f
2020/3/31,1900/1/2,56,199786,897282,59518,17910,23725,3487,236,507,,5666,2020-03-31T00:00:00Z,4216,23725,2020-03-31T00:00:00Z,1156586,1097068,1097068,861,3906,87636,24694,112330,02d40c307f8015c6ea1f6fb5371e719bebe9ede2
2020/4/1,1900/1/3,56,225559,980030,59665,20517,27953,3937,407,561,140,7084,2020-04-01T00:00:00Z,5204,27953,2020-04-01T00:00:00Z,1265254,1205589,1205589,988,4228,82748,25773,108521,dfc7692ac2b093d22cc4e312be50fb93046fa5db
2020/4/2,1900/1/4,56,253551,1070889,62097,22538,32128,4410,456,574,140,8586,2020-04-02T00:00:00Z,6353,32128,2020-04-02T00:00:00Z,1386537,1324440,1324440,1149,4175,90859,27992,118851,4f958935f2b1dc7a0437810282bf517beec7d12a
2020/4/3,1900/1/5,56,285496,1171834,61976,25234,36682,4811,486,605,147,10861,2020-04-03T00:00:00Z,7612,36682,2020-04-03T00:00:00Z,1519306,1457330,1457330,1259,4554,100945,31945,132890,167c128c0145040bf8fd7c74e69493de844b025c
2020/4/6,1900/1/1,56,373235,1584951,17283,35559,48617,6943,814,2961,147,16554,2020-04-06T00:00:00Z,11591,48617,2020-04-06T00:00:00Z,1975469,1958186,1958186,1254,2946,123071,28937,152008,ffc6b105cda5e08edb4a7440f1ffb461fe79e853
2020/4/7,1900/1/2,56,403972,1708456,16548,43163,51598,9821,889,4076,151,18443,2020-04-07T00:00:00Z,13547,51598,2020-04-07T00:00:00Z,2128976,2112428,2112428,1956,2981,123505,30737,154242,6d0094bc854fbbc51a93340412cb955638df4b1c
2020/4/8,1900/1/3,56,434506,1825410,17219,44833,55909,10180,1013,4131,216,21102,2020-04-08T00:00:00Z,15491,55909,2020-04-08T00:00:00Z,2277135,2259916,2259916,1944,4311,116954,30534,147488,c4c518a584b40c2d43f18f6f7ca2e30aebbf5983
2020/4/9,1900/1/4,56,468925,1962049,17622,50535,59832,12254,924,5794,39,24819,2020-04-09T00:00:00Z,17463,59832,2020-04-09T00:00:00Z,2448596,2430974,2430974,1972,3923,136639,34419,171058,6a776ddc6e3d6532a96da62168d1a81d30640711
2020/4/13,1900/1/1,56,586814,2412640,17159,55815,75164,13632,1628,6168,210,35372,2020-04-13T00:00:00Z,24702,75164,2020-04-13T00:00:00Z,3016613,2999454,2999454,1572,4285,109050,25133,134183,86df70c3afefeb60d907fff7e3e47a99db4511d2
2020/4/14,1900/1/2,56,612445,2538781,16615,59221,78446,14039,1715,5975,221,39268,2020-04-14T00:00:00Z,26989,78446,2020-04-14T00:00:00Z,3167841,3151226,3151226,2287,3282,126141,25631,151772,4d3c3de57353b11b7642e6dac037df87862a6b13
2020/4/15,1900/1/3,56,642743,2645465,16901,59538,82880,14647,1783,6032,223,43435,2020-04-15T00:00:00Z,29475,82880,2020-04-15T00:00:00Z,3305109,3288208,3288208,2486,4434,106684,30298,136982,8b34134b5d160be77546e45bc1a9535f339a8feb
2020/4/16,1900/1/4,56,673666,2778340,16927,59139,85951,15130,1834,5940,137,48851,2020-04-16T00:00:00Z,31616,85951,2020-04-16T00:00:00Z,3468933,3452006,3452006,2141,3071,132875,30923,163798,d4fb28c4a12a28966e7a1cb0f7633d66262693b0
2020/4/17,1900/1/5,56,705630,2905060,10889,58531,89356,14890,2052,6096,148,53533,2020-04-17T00:00:00Z,33693,89356,2020-04-17T00:00:00Z,3621579,3610690,3610690,2077,3405,126720,31964,158684,593ab4a9db1d126567792901cee60d451e862430
2020/4/20,1900/1/1,56,786933,3269209,4037,56386,97369,14489,2193,5567,214,69493,2020-04-20T00:00:00Z,39028,97369,2020-04-20T00:00:00Z,4060179,4056142,4056142,1765,2211,119816,25872,145688,5fd9c4dcb43ab43184377f442e29475ccae83e21
2020/4/21,1900/1/2,56,813266,3395710,3956,59379,100051,14941,2315,5514,214,72842,2020-04-21T00:00:00Z,41457,100051,2020-04-21T00:00:00Z,4212932,4208976,4208976,2429,2682,126501,26333,152834,a81722b346f1ac5e595d8a9065277f34aeabe4fe
2020/4/22,1900/1/3,56,842182,3690277,4191,58765,103138,15015,2370,5474,227,92978,2020-04-22T00:00:00Z,43522,103138,2020-04-22T00:00:00Z,4536650,4532459,4532459,2065,3087,294567,28916,323483,7894781b21aeec008d727c20345d11030ca2e271
2020/4/23,1900/1/4,56,873966,3851303,4258,58583,105940,14744,2428,5464,227,96921,2020-04-23T00:00:00Z,45286,105940,2020-04-23T00:00:00Z,4729527,4725269,4725269,1764,2802,161026,31784,192810,2b245e7b441a873759a9e1277fcc4938c5bb0034
2020/4/24,1900/1/5,56,908140,4052986,4396,56871,108278,14602,2468,5187,227,101296,2020-04-24T00:00:00Z,47151,108278,2020-04-24T00:00:00Z,4965522,4961126,4961126,1865,2338,201683,34174,235857,70c5bf50aa75464f640a564b8a6e7a8d33dc41b4
2020/4/27,1900/1/1,56,994026,4644938,4077,55765,116002,13812,3720,4867,195,121323,2020-04-27T00:00:00Z,51290,116002,2020-04-27T00:00:00Z,5643041,5638964,5638964,1237,3076,172795,22605,195400,7088d4b0276033ae86d8fc9051f6d52cb15a7b4a
2020/4/28,1900/1/2,56,1019245,4826333,4206,55725,118081,13562,3798,4760,195,139041,2020-04-28T00:00:00Z,53332,118081,2020-04-28T00:00:00Z,5849784,5845578,5845578,2042,2079,181395,25219,206614,4d9615cb0d2fafdd87e3e39a8984257498c4e795
2020/4/29,1900/1/3,56,1045835,5038509,4832,55708,121496,13535,4093,4796,365,147165,2020-04-29T00:00:00Z,56024,121496,2020-04-29T00:00:00Z,6089176,6084344,6084344,2692,3415,212176,26590,238766,73271e2071010a4013c4e206b8de3e7acfaa706d
2020/4/30,1900/1/4,56,1075454,5241537,2775,54635,123786,13255,4192,4712,373,154648,2020-04-30T00:00:00Z,58141,123786,2020-04-30T00:00:00Z,6319766,6316991,6316991,2117,2290,203028,29619,232647,e00116f1ff5c7d23d17e0a8d851f0403db0979f9
2020/5/1,1900/1/5,56,1108510,5503707,1639,53127,133575,12845,4300,4707,376,163644,2020-05-01T00:00:00Z,59894,133575,2020-05-01T00:00:00Z,6613856,6612217,6612217,1753,9789,262170,33056,295226,dcda50f4d716b298ecaebc07c57a7ca9fc62c3ff
2020/5/4,1900/1/1,56,1185985,6141286,2791,50740,139220,12696,4579,4848,430,186752,2020-05-04T00:00:00Z,63653,139220,2020-05-04T00:00:00Z,7330062,7327271,7327271,1012,1651,208933,22523,231456,cb8bb5022d8338400c0bc5016b51aa7b9bfa34e4
2020/5/5,1900/1/2,56,1208434,6390308,2633,51590,141203,12629,4794,4818,439,189336,2020-05-05T00:00:00Z,66098,141203,2020-05-05T00:00:00Z,7601375,7598742,7598742,2445,1983,249022,22449,271471,64764a9901aa11583ae48d9ef57c54dca54e6792
2020/5/6,1900/1/3,56,1233490,6610085,2742,50949,143322,12478,4911,4753,449,189425,2020-05-06T00:00:00Z,68030,143322,2020-05-06T00:00:00Z,7846317,7843575,7843575,1932,2119,219777,25056,244833,4403b7f6c0ea53baf0510ba30c9ae71c33b361aa
2020/5/7,1900/1/4,56,1260980,6884239,3171,49872,147064,12137,5174,7070,529,194528,2020-05-07T00:00:00Z,70770,147064,2020-05-07T00:00:00Z,8148390,8145219,8145219,2740,3742,274154,27490,301644,95f24a2409a71ea4cdd90878e364235733904448
2020/5/8,1900/1/5,56,1288585,7154484,3307,48284,153956,11780,6294,6788,531,198459,2020-05-08T00:00:00Z,72549,153956,2020-05-08T00:00:00Z,8446376,8443069,8443069,1779,6892,270245,27605,297850,873b8268b4bd61f43626be19f405d72765c64a9f
2020/5/11,1900/1/1,56,1353135,8029996,1989,44961,157957,11147,6488,6350,551,232142,2020-05-11T00:00:00Z,75892,157957,2020-05-11T00:00:00Z,9385120,9383131,9383131,887,1238,363887,18236,382123,ea4315a4d00af49f6297abeca619444a26032b8e
2020/5/12,1900/1/2,56,1375798,8315888,1803,45942,159536,11241,5595,6352,559,238857,2020-05-12T00:00:00Z,77364,159536,2020-05-12T00:00:00Z,9693489,9691686,9691686,1472,1579,285892,22663,308555,521640d37c1c48def4386778f67921635cebef6b
2020/5/13,1900/1/3,56,1396991,8613736,1983,45311,161345,10978,6713,6156,572,243430,2020-05-13T00:00:00Z,79060,161345,2020-05-13T00:00:00Z,10012710,10010727,10010727,1696,1809,297848,21193,319041,a6c996dc1c00c8fe9d3ae7d6e1d056aeaa71f51d
2020/5/14,1900/1/4,56,1423696,8951105,2673,44221,164551,10656,6795,5940,582,246414,2020-05-14T00:00:00Z,80931,164551,2020-05-14T00:00:00Z,10377474,10374801,10374801,1871,3206,337369,26705,364074,98ca54e6ba283838d4ea9a0e5d36d807f0e296f2
2020/5/15,1900/1/5,56,1448406,9284718,2457,42943,165904,10472,6890,5746,589,250747,2020-05-15T00:00:00Z,82433,165904,2020-05-15T00:00:00Z,10735581,10733124,10733124,1502,1353,333613,24710,358323,1706787c9fe0ec45289b6dcd649de84b210891a6
2020/5/18,1900/1/1,56,1514270,10306841,3596,41212,170116,9755,7064,5257,602,283178,2020-05-18T00:00:00Z,85107,170116,2020-05-18T00:00:00Z,11824707,11821111,11821111,844,1157,333721,20992,354713,60ee3ae826f5ee2473bd0c1cde1b9d06416c1690
2020/5/19,1900/1/2,56,1535123,10687327,2944,41383,171713,9597,7217,5032,606,289484,2020-05-19T00:00:00Z,86432,171713,2020-05-19T00:00:00Z,12225394,12222450,12222450,1325,1597,380486,20853,401339,8c16fca5fd880c11e924fd7abbdf0aed59ecfd26
2020/5/20,1900/1/3,56,1556442,11073167,2973,41202,173709,9522,7319,4911,613,294312,2020-05-20T00:00:00Z,87824,173709,2020-05-20T00:00:00Z,12632582,12629609,12629609,1392,1996,385840,21319,407159,45cffd2898ffcf31aaae8c5aa431dc3b02d94059
2020/5/21,1900/1/4,56,1582955,11508473,3641,40657,178339,9090,7412,4868,616,298418,2020-05-21T00:00:00Z,89212,178339,2020-05-21T00:00:00Z,13095069,13091428,13091428,1388,4630,435306,26513,461819,64ccc74a6ab2e9ee0544d7b617589c716c845529
2020/5/22,1900/1/5,56,1607510,11893006,3709,39391,182385,9048,7689,4716,633,350135,2020-05-22T00:00:00Z,90547,182385,2020-05-22T00:00:00Z,13504225,13500516,13500516,1335,4046,384533,24555,409088,378362d946530a373208136d844c53559d9f1f60
2020/5/26,1900/1/2,56,1684632,13315909,1549,37210,203006,8585,7899,4215,650,384902,2020-05-26T00:00:00Z,93480,203006,2020-05-26T00:00:00Z,15002090,15000541,15000541,640,17320,289303,16629,305932,71c0e8d32bd77033ab15aefaf5e84b1d3d013433
2020/5/27,1900/1/3,56,1704017,13604957,3132,37766,204719,8547,8015,4222,666,391508,2020-05-27T00:00:00Z,94798,204719,2020-05-27T00:00:00Z,15312106,15308974,15308974,1318,1713,289048,19385,308433,2411ff787ca972a1703f4121397f3f5ed5eca8de
2020/5/28,1900/1/4,56,1726618,14016826,1906,37542,206349,8389,8109,4080,676,478099,2020-05-28T00:00:00Z,96024,206349,2020-05-28T00:00:00Z,15745350,15743444,15743444,1226,1630,411869,22601,434470,69f3ccbd00f47c2b79122116bb25f82a976f488c
2020/5/29,1900/1/5,56,1750140,14480533,2978,36409,208064,8175,8235,4032,689,484554,2020-05-29T00:00:00Z,97203,208064,2020-05-29T00:00:00Z,16233651,16230673,16230673,1179,1715,463707,23522,487229,d24e9e4e145eba0497bc2ac51eee292070b8ff22
2020/6/1,1900/1/1,56,1815956,15648969,3455,33689,213260,7591,8485,3950,704,536339,2020-06-01T00:00:00Z,99446,213260,2020-06-01T00:00:00Z,17468380,17464925,17464925,665,2796,391912,20415,412327,525d7fcdbb660b7f0899c6af471f415914981f85
